################################################################################
# A list of videos of people performing sign language
################################################################################


###################
# Unlabeled Video #
###################
## Filename
/mnt/Data/summer2013/gestures/Sign Language 101- Greetings and Useful Words.mp4


#################
# Labeled Video #
#################
## Filename, Label, StartFrame, EndFrame
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, vieniqui, 1, 79
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, prendere, 80, 159
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, sonostufo, 160, 219
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, chevuoi, 220, 279
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, daccordo, 280, 319
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, perfetto, 320, 399
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, vattene, 400, 439
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, basta, 440, 479
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, buonissimo, 480, 519
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, cheduepalle, 520, 579
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, cosatifarei, 580, 659
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, fame, 660, 719
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, noncenepiu, 720, 799
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, furbo, 800, 879
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, combinato, 880, 959
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, freganiente, 960, 1039
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, seipazzo, 1040, 1099
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, tantotempo, 1100, 1159
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, messidaccordo, 1160, 1199
/mnt/Data/summer2013/gestures/training1/Sample00001_color.mp4, ok, 1200, 1254
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, basta, 16, 42
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, combinato, 73, 119
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, vattene, 156, 185
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, furbo, 232, 271
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, chevuoi, 317, 358
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, cosatifarei, 363, 394
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, tantotempo, 426, 469
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, daccordo, 483, 526
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, cheduepalle, 558, 591
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, freganiente, 624, 654
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, buonissimo, 685, 737
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, perfetto, 756, 805
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, fame, 832, 873
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, noncenepiu, 879, 919
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, messidaccordo, 953, 1006
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, vieniqui, 1030, 1063
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, seipazzo, 1109, 1152
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, prendere, 1161, 1201
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, ok, 1231, 1267
/mnt/Data/summer2013/gestures/training1/Sample00035_color.mp4, sonostufo, 1284, 1329
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, ok, 33, 57
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, messidaccordo, 82, 122
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, cosatifarei, 123, 162
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, sonostufo, 164, 206
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, vattene, 207, 238
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, noncenepiu, 252, 287
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, chevuoi, 291, 321
/mnt/Data/summer2013/gestures/training1/Sample00068_color.mp4, perfetto, 347, 384
